2026-06-22 09:29:47,397 | WARNING  | presidio-analyzer:168 | Recognizer not added to registry because language is not supported by registry - ItPassportRecognizer supported languages: it, registry supported languages: en
2026-06-22 09:29:47,397 | WARNING  | presidio-analyzer:168 | Recognizer not added to registry because language is not supported by registry - PlPeselRecognizer supported languages: pl, registry supported languages: en
2026-06-22 09:29:47,397 | INFO     | presidio-analyzer:60 | Loaded recognizer: SpacyRecognizer
2026-06-22 09:29:47,397 | INFO     | app.pii_redactor:44 | Presidio Analyzer/Anonymizer engines initialized successfully using en_core_web_sm.
2026-06-22 09:29:48,018 | INFO     | httpx:1025 | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
2026-06-22 09:29:48,019 | ERROR    | app.action_extractor:65 | OpenAI action item extraction failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}. Using heuristic fallback.
2026-06-22 09:29:48,042 | WARNING  | presidio-analyzer:272 | Entity MONEY is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
2026-06-22 09:29:48,055 | WARNING  | presidio-analyzer:272 | Entity MONEY is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
2026-06-22 09:29:48,066 | INFO     | app.database:118 | Call record inserted: 803de152-257c-4be3-9210-c33b48eea495
2026-06-22 09:29:48,072 | INFO     | app.main:405 | Transcription complete: job_id=803de152-257c-4be3-9210-c33b48eea495, segments=4, duration=3.00s, wer=N/A
